Date,Open,High,Low,Close,Adj Close,Volume
2022-07-04,134.000000,134.000000,124.000000,128.000000,128.000000,66255500
2022-07-05,130.000000,138.000000,130.000000,135.000000,135.000000,67450000
2022-07-06,137.000000,144.000000,135.000000,139.000000,139.000000,97882400
2022-07-07,144.000000,145.000000,138.000000,138.000000,138.000000,45332500
2022-07-08,139.000000,146.000000,139.000000,141.000000,141.000000,79021500
2022-07-11,144.000000,144.000000,137.000000,139.000000,139.000000,44436200
2022-07-12,139.000000,142.000000,136.000000,138.000000,138.000000,38569700
2022-07-13,138.000000,150.000000,136.000000,136.000000,136.000000,71302100
2022-07-14,137.000000,145.000000,134.000000,145.000000,145.000000,59575000
2022-07-15,146.000000,159.000000,139.000000,152.000000,152.000000,104777600
2022-07-18,153.000000,157.000000,142.000000,147.000000,147.000000,69629700
2022-07-19,147.000000,155.000000,142.000000,155.000000,155.000000,108384400
2022-07-20,156.000000,171.000000,153.000000,165.000000,165.000000,183641000
2022-07-21,166.000000,166.000000,162.000000,163.000000,163.000000,50723000
2022-07-22,164.000000,187.000000,162.000000,180.000000,180.000000,203830300
2022-07-25,185.000000,185.000000,168.000000,178.000000,178.000000,143172300
2022-07-26,178.000000,199.000000,176.000000,198.000000,198.000000,207065100
2022-07-27,199.000000,208.000000,189.000000,192.000000,192.000000,144380400
2022-07-28,197.000000,197.000000,185.000000,192.000000,192.000000,82844400
2022-07-29,194.000000,195.000000,185.000000,185.000000,185.000000,61818300
2022-08-01,184.000000,197.000000,182.000000,190.000000,190.000000,79768700
2022-08-02,190.000000,192.000000,177.000000,178.000000,178.000000,102863100
2022-08-03,180.000000,189.000000,178.000000,180.000000,180.000000,69696800
2022-08-04,182.000000,190.000000,178.000000,185.000000,185.000000,83635100
2022-08-05,187.000000,206.000000,185.000000,186.000000,186.000000,237662900
2022-08-08,187.000000,189.000000,180.000000,182.000000,182.000000,81977400
2022-08-09,180.000000,183.000000,174.000000,177.000000,177.000000,120382100
2022-08-10,179.000000,189.000000,175.000000,188.000000,188.000000,99201200
2022-08-11,191.000000,212.000000,189.000000,206.000000,206.000000,250845900
2022-08-12,210.000000,224.000000,206.000000,220.000000,220.000000,200614100
2022-08-15,224.000000,224.000000,216.000000,218.000000,218.000000,76173900
